location,coast_dist
PENP-1-1,751
PENP-1-2,491
PENP-1-3,1540
PENP-2-3,78
PENP-3-1,678
PENP-3-2,672
PENP-3-4,355
PENP-4-1,447
PENP-4-2,912
PENP-4-3,1271
PENP-4-4,902
PENP-1-4,820
PENP-3-5,63
PENP-3-6,1198
ASC-1,5314
LXI-1,222
PENP-1-5,2050
PENP-1-6,1640
PENP-3-7,408
PENP-3-8,65
PENP-4-6,789
PENP-5-1,137
PENP-BS-1,485
PENP-BS-2,254
PENP-BS-3,119
PENP-BS-4,239
PENP-BS-5,342
PENP-4-5,576
PENP-E1,2
PENP-BS-6,497
